"DES","ORI","flow","DES_NAME","DES_Y","DES_X","ORI_NAME","ORI_Y","ORI_X"
13045,13153,105,"Carroll",33.58138199,-85.07976677,"Houston",32.45802497,-83.66879087
13045,13215,165,"Carroll",33.58138199,-85.07976677,"Muscogee",32.50931999,-84.87142262
13045,13217,145,"Carroll",33.58138199,-85.07976677,"Newton",33.55514538,-83.8454714
13045,13223,1478,"Carroll",33.58138199,-85.07976677,"Paulding",33.91969522,-84.86848792
13045,13233,398,"Carroll",33.58138199,-85.07976677,"Polk",34.00267074,-85.18677781
13045,13247,109,"Carroll",33.58138199,-85.07976677,"Rockdale",33.65145002,-84.02202167
13045,13255,205,"Carroll",33.58138199,-85.07976677,"Spalding",33.26310031,-84.28013991
13045,13285,441,"Carroll",33.58138199,-85.07976677,"Troup",33.03349196,-85.02812115
13045,13297,109,"Carroll",33.58138199,-85.07976677,"Walton",33.78017694,-83.73552314
13045,13313,145,"Carroll",33.58138199,-85.07976677,"Whitfield",34.80987459,-84.96093476
13047,13047,4696,"Catoosa",34.89872298,-85.13757014,"Catoosa",34.89872298,-85.13757014
13047,13067,159,"Catoosa",34.89872298,-85.13757014,"Cobb",33.94243204,-84.5761255
13047,13083,159,"Catoosa",34.89872298,-85.13757014,"Dade",34.8549167,-85.50490424
13047,13089,117,"Catoosa",34.89872298,-85.13757014,"DeKalb",33.76944049,-84.22396017
13047,13115,178,"Catoosa",34.89872298,-85.13757014,"Floyd",34.26268279,-85.21577392
13047,13121,140,"Catoosa",34.89872298,-85.13757014,"Fulton",33.79216944,-84.46319413
13047,13129,256,"Catoosa",34.89872298,-85.13757014,"Gordon",34.50487351,-84.87296253
13047,13135,168,"Catoosa",34.89872298,-85.13757014,"Gwinnett",33.96044201,-84.02137802
13047,13213,341,"Catoosa",34.89872298,-85.13757014,"Murray",34.78897608,-84.74993177
13047,13295,2466,"Catoosa",34.89872298,-85.13757014,"Walker",34.73376362,-85.30165174
13047,13313,1259,"Catoosa",34.89872298,-85.13757014,"Whitfield",34.80987459,-84.96093476
13049,13025,158,"Charlton",30.78371028,-82.13951596,"Brantley",31.19576557,-81.97743999
13049,13039,264,"Charlton",30.78371028,-82.13951596,"Camden",30.92951916,-81.66601818
13049,13049,1006,"Charlton",30.78371028,-82.13951596,"Charlton",30.78371028,-82.13951596
13049,13299,119,"Charlton",30.78371028,-82.13951596,"Ware",31.05449097,-82.42224148
13051,13001,371,"Chatham",32.00043026,-81.12489526,"Appling",31.74847232,-82.28909114
13051,13009,123,"Chatham",32.00043026,-81.12489526,"Baldwin",33.06882326,-83.24701748
13051,13013,124,"Chatham",32.00043026,-81.12489526,"Barrow",33.99148694,-83.71436292
13051,13015,132,"Chatham",32.00043026,-81.12489526,"Bartow",34.23732119,-84.83887523
13051,13021,509,"Chatham",32.00043026,-81.12489526,"Bibb",32.80904227,-83.70489165
